scenario_id,scenario_path,ego_id,rule,repeat,encoding,rule_semantics,num_steps,solver_feasible,monitor_compliant,success,specification_time,solver_setup_time,solve_time,core_total_time,validation_time,gurobi_runtime,num_variables,num_binary_variables,num_constraints,solver_status,mip_gap,robustness,updated_tv,updated_other_id,updated_diagnostics,candidate_sd_at_tv,error
DEU_AachenBendplatz-1_132580_T-2599,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_132580_T-2599.xml,10183,R_IN1,0,standard,vp_compatible,20,True,True,True,0.0002575390026322566,0.1306698359985603,0.0033165220011142083,0.13424389700230677,0.42445116699673235,0.002740144729614258,502,40,983,2,6.357357911688874e-12,0.010000000000098997,inf,,,,
DEU_AachenBendplatz-1_71480_T-1499,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_71480_T-1499.xml,10069,R_IN1,0,standard,vp_compatible,20,True,True,True,0.00024833500356180593,0.1291401490016142,0.003523198996845167,0.13291168300202116,0.4304350929960492,0.0027658939361572266,502,40,983,2,3.0811925504426163e-12,0.010000000001973734,inf,,,,
DEU_AachenBendplatz-1_143920_T-3939,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_143920_T-3939.xml,10304,R_IN1,0,standard,vp_compatible,20,True,True,True,0.00027224600489716977,0.12736521499755327,0.0031316940003307536,0.1307691550027812,0.4488960329981637,0.0023081302642822266,502,40,983,2,0.0,0.010000000028372756,inf,,,,
DEU_AachenBendplatz-1_83340_T-3359,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_83340_T-3359.xml,10255,R_IN1,0,standard,vp_compatible,20,True,True,True,0.000271300996246282,0.1360843649963499,0.0033921200010809116,0.1397477859936771,0.4814506309994613,0.002613067626953125,502,40,983,2,0.0,0.010000000000035607,inf,,,,
DEU_AachenBendplatz-1_102260_T-2279,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_102260_T-2279.xml,10142,R_IN1,0,standard,vp_compatible,20,False,False,False,0.0003060469971387647,,,,,,,,,,,,,,,,"KeyError: 0
Traceback (most recent call last):
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/runner.py"", line 180, in evaluate
    lon, lat = ego.get_lon_state(0, lane), ego.get_lat_state(0, lane)
  File ""/data_linux/Lab/commonroad-stl-monitor/crmonitor/common/vehicle.py"", line 443, in get_lon_state
    states = self.ccosy_cache.get_curvilinear_state(self.states_cr[time_step], lane)
KeyError: 0
"
DEU_AachenBendplatz-1_102720_T-2739,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_102720_T-2739.xml,10169,R_IN1,0,standard,vp_compatible,20,True,False,False,0.0004250390047673136,0.13276830600079847,0.0031917849992169067,0.1363851300047827,0.48531735200231196,0.0024330615997314453,502,40,983,2,0.0,0.01000000000021124,3.0,(),,"{""t"": 15, ""s"": 46.26239363470513, ""d"": -0.26172400407498486}",
DEU_AachenBendplatz-1_111320_T-1339,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_111320_T-1339.xml,10087,R_IN1,0,standard,vp_compatible,20,True,True,True,0.0003086680007982068,0.1291981719987234,0.003567341002053581,0.1330741810015752,0.5367908260013792,0.002752065658569336,502,40,983,2,0.0,0.01000000000002824,inf,,,,
DEU_AachenBendplatz-1_113180_T-3199,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_113180_T-3199.xml,10211,R_IN1,0,standard,vp_compatible,20,True,True,True,0.00038536699867108837,0.14781587300240062,0.003921658004401252,0.15212289800547296,0.5174141239986056,0.0029251575469970703,502,40,983,2,0.0,0.010000000002361455,inf,,,,
DEU_AachenBendplatz-1_113620_T-3639,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_113620_T-3639.xml,10245,R_IN1,0,standard,vp_compatible,20,False,False,False,0.00039462399581680074,0.13883956499921624,0.005025474005378783,0.14425966300041182,,0.004235982894897461,502,40,983,4,,-inf,,,,,
DEU_AachenBendplatz-1_12640_T-659,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_12640_T-659.xml,10034,R_IN1,0,standard,vp_compatible,20,True,True,True,0.0003889069994329475,0.1468897869999637,0.0036571809978340752,0.1509358749972307,0.5222738009979366,0.002763986587524414,502,40,983,2,0.0,0.010000000073970844,inf,,,,
DEU_AachenBendplatz-1_133320_T-3339,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_133320_T-3339.xml,10229,R_IN1,0,standard,vp_compatible,20,True,True,True,0.000274038000497967,0.14513727500161622,0.003435624996200204,0.1488469379983144,0.5259406010009116,0.0026929378509521484,502,40,983,2,0.0,0.010000000157696264,inf,,,,
DEU_AachenBendplatz-1_134560_T-4579,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_134560_T-4579.xml,10319,R_IN1,0,standard,vp_compatible,20,True,True,True,0.0003679569999803789,0.1447333929972956,0.004216567998810206,0.14931791799608618,0.5696242119956878,0.0030410289764404297,502,40,983,2,0.0,0.010000000003951378,inf,,,,
DEU_AachenBendplatz-1_143120_T-3139,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_143120_T-3139.xml,10231,R_IN1,0,standard,vp_compatible,20,True,True,True,0.00030223600333556533,0.14969916800328065,0.0035491119997459464,0.15355051600636216,0.5647329319981509,0.0027811527252197266,502,40,983,2,2.401295999237632e-13,0.010000000000074487,inf,,,,
DEU_AachenBendplatz-1_143500_T-3519,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_143500_T-3519.xml,10266,R_IN1,0,standard,vp_compatible,20,True,True,True,0.00036221199843566865,0.1552282619959442,0.0036415020003914833,0.15923197599477135,0.5628704230039148,0.0028769969940185547,502,40,983,2,3.216273015986517e-12,0.010000000000808347,inf,,,,
DEU_AachenBendplatz-1_151840_T-1859,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_151840_T-1859.xml,10125,R_IN1,0,standard,vp_compatible,20,True,True,True,0.000282193002931308,0.1540660930040758,0.003516864999255631,0.15786515100626275,0.5626994099948206,0.0026960372924804688,502,40,983,2,0.0,0.010000000141654274,inf,,,,
DEU_AachenBendplatz-1_153320_T-3339,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_153320_T-3339.xml,10220,R_IN1,0,standard,vp_compatible,20,True,True,True,0.0003814759984379634,0.15114158600044902,0.0033722619991749525,0.15489532399806194,0.5564573430019664,0.002574920654296875,502,40,983,2,0.0,0.01000000000001209,inf,,,,
DEU_AachenBendplatz-1_153880_T-3899,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_153880_T-3899.xml,10242,R_IN1,0,standard,vp_compatible,20,True,True,True,0.0003612970031099394,0.14211944099952234,0.0038206809986149892,0.14630141900124727,0.5438527799997246,0.002827882766723633,502,40,983,2,0.0,0.010000000000099232,inf,,,,
DEU_AachenBendplatz-1_154400_T-4419,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_154400_T-4419.xml,10278,R_IN1,0,standard,vp_compatible,20,False,False,False,0.0002841680034180172,0.13780367599974852,0.0011578429985092953,0.13924568700167583,,0.0004329681396484375,502,40,983,4,,-inf,,,,,
DEU_AachenBendplatz-1_163620_T-3639,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_163620_T-3639.xml,10262,R_IN1,0,standard,vp_compatible,20,True,True,True,0.0003049259976251051,0.14150460100063356,0.0036017590027768165,0.14541128600103548,0.5459412159980275,0.0028879642486572266,502,40,983,2,0.0,0.010000000000000005,inf,,,,
DEU_AachenBendplatz-1_172060_T-2079,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_172060_T-2079.xml,10157,R_IN1,0,standard,vp_compatible,20,True,False,False,0.0003195000026607886,0.14297088099556277,0.0034625609987415373,0.1467529419969651,0.564482212997973,0.0026781558990478516,502,40,983,2,0.0,0.010000000000475972,3.0,(),,"{""t"": 15, ""s"": 46.52653050446791, ""d"": -0.22323024268746572}",
DEU_AachenBendplatz-1_173000_T-3019,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_173000_T-3019.xml,10220,R_IN1,0,standard,vp_compatible,20,True,True,True,0.00028282800485612825,0.153086323000025,0.003945800999645144,0.15731495200452628,0.5677431220028666,0.0030488967895507812,502,40,983,2,0.0,0.010000000000008629,inf,,,,
DEU_AachenBendplatz-1_174820_T-4839,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_174820_T-4839.xml,10347,R_IN1,0,standard,vp_compatible,20,True,True,True,0.00027496700204210356,0.13966499499656493,0.0035278650029795244,0.14346782700158656,0.5158586689940421,0.0027608871459960938,502,40,983,2,9.939534919873478e-12,0.010000000000071459,inf,,,,
DEU_AachenBendplatz-1_1760_T-79,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_1760_T-79.xml,10004,R_IN1,0,standard,vp_compatible,20,True,True,True,0.0003054900007555261,0.13724705600179732,0.003530604997649789,0.14108315100020263,0.5197105069964891,0.0027818679809570312,502,40,983,2,0.0,0.010000000000076252,inf,,,,
