scenario_id,ego_id,sat_solver_mode,success,iterations,tv,tc,updated_tv,domain_dict_size,domain_dict_time,sat_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,compliance_check_time,core_total_time,wall_time,error
DEU_LocationALower-11_102_T-1,16,domain_dpll,True,1,9,0,inf,0,0.0016055107116699219,2.574920654296875e-05,7.033348083496094e-05,0.0003364086151123047,0.0017549991607666016,0.00026297569274902344,0.0,0.004055976867675781,0.9675755500793457,
DEU_LocationALower-11_110_T-1,16,domain_dpll,True,1,2,0,inf,0,0.0016317367553710938,2.956390380859375e-05,7.724761962890625e-05,0.0003314018249511719,0.002051830291748047,0.00020623207092285156,0.0,0.004328012466430664,1.0237977504730225,
DEU_LocationALower-11_131_T-1,18,domain_dpll,True,1,19,0,inf,0,0.0019731521606445312,3.0517578125e-05,0.00012350082397460938,0.0003390312194824219,0.001997709274291992,0.0002110004425048828,0.0,0.0046749114990234375,1.0590605735778809,
DEU_LocationALower-11_4_T-1,18,domain_dpll,True,1,1,0,inf,0,0.0018854141235351562,2.956390380859375e-05,7.82012939453125e-05,0.00032711029052734375,0.001638650894165039,0.00017952919006347656,0.0,0.004138469696044922,1.0136029720306396,
DEU_LocationALower-11_43_T-1,17,domain_dpll,True,1,8,0,inf,0,0.0017478466033935547,3.0994415283203125e-05,8.130073547363281e-05,0.0003275871276855469,0.0017497539520263672,0.00021696090698242188,0.0,0.0041544437408447266,0.9958360195159912,
DEU_LocationALower-11_56_T-1,15,domain_dpll,True,1,1,0,inf,0,0.001825094223022461,3.266334533691406e-05,9.107589721679688e-05,0.0008265972137451172,0.0029900074005126953,0.00046634674072265625,0.0,0.006231784820556641,0.9363913536071777,
DEU_LocationALower-11_64_T-1,18,domain_dpll,True,1,15,0,inf,0,0.0016396045684814453,2.9087066650390625e-05,7.700920104980469e-05,0.0003268718719482422,0.002933025360107422,0.00023698806762695312,0.0,0.005242586135864258,0.9369151592254639,
DEU_LocationALower-12_109_T-1,20,domain_dpll,True,1,8,0,inf,0,0.0016863346099853516,2.9087066650390625e-05,8.130073547363281e-05,0.0003314018249511719,0.002632617950439453,0.0002853870391845703,0.0,0.00504612922668457,0.9506351947784424,
DEU_LocationALower-12_167_T-1,12,domain_dpll,True,1,11,0,inf,0,0.0015859603881835938,2.5987625122070312e-05,7.176399230957031e-05,0.0003483295440673828,0.0017096996307373047,0.0002810955047607422,0.0,0.004022836685180664,0.906834602355957,
DEU_LocationALower-12_217_T-1,14,domain_dpll,True,1,6,0,inf,0,0.0016198158264160156,2.8848648071289062e-05,8.034706115722656e-05,0.0003261566162109375,0.0016324520111083984,0.00019550323486328125,0.0,0.0038831233978271484,0.9562511444091797,
DEU_LocationALower-12_52_T-1,26,domain_dpll,True,1,14,0,inf,0,0.0016632080078125,2.956390380859375e-05,7.748603820800781e-05,0.00032973289489746094,0.0018923282623291016,0.0002224445343017578,0.0,0.004214763641357422,0.9681060314178467,
DEU_LocationALower-13_162_T-1,21,domain_dpll,True,1,10,0,inf,0,0.0016133785247802734,2.8848648071289062e-05,8.630752563476562e-05,0.0003814697265625,0.002050161361694336,0.0003228187561035156,0.0,0.00448298454284668,0.901623010635376,
