scenario_id,ego_id,rule,replanability,total_time,num_obstacles
DEU_LocationALower-35_34_T-1,19,R_G3,yes,0.132629156112671,15
DEU_LocationALower-33_233_T-1,14,R_G3,yes,0.144604921340942,12
DEU_LocationALower-13_214_T-1,21,R_G3,yes,0.241049528121948,19
DEU_LocationALower-28_252_T-1,18,R_G3,no,0.388442277908325,14
DEU_LocationALower-27_184_T-1,13,R_G3,yes,0.482160806655884,11
DEU_LocationALower-13_241_T-1,20,R_G3,yes,0.522915601730347,17
DEU_LocationALower-29_134_T-1,9,R_G3,yes,0.550719022750855,16
DEU_LocationALower-32_84_T-1,13,R_G3,yes,0.56867241859436,10
DEU_LocationALower-12_52_T-1,26,R_G3,yes,0.569537401199341,22
DEU_LocationALower-14_219_T-1,12,R_G3,yes,0.591524362564087,15
DEU_LocationALower-34_147_T-1,16,R_G3,yes,0.598634719848633,13
DEU_LocationALower-36_208_T-1,8,R_G3,yes,0.611079454421997,19
DEU_LocationALower-36_291_T-1,13,R_G3,yes,0.687067747116089,13
DEU_LocationALower-33_228_T-1,14,R_G3,yes,0.69471001625061,15
DEU_LocationALower-28_228_T-1,11,R_G3,yes,0.696911334991455,10
DEU_LocationALower-37_231_T-1,23,R_G3,yes,0.699483156204224,19
DEU_LocationALower-28_109_T-1,18,R_G3,yes,0.757836818695068,18
DEU_LocationALower-33_219_T-1,8,R_G3,yes,0.763026237487793,10
DEU_LocationALower-29_192_T-1,9,R_G3,yes,0.778690099716187,8
DEU_LocationALower-31_31_T-1,15,R_G3,yes,0.778984069824219,13
DEU_LocationALower-36_113_T-1,14,R_G3,yes,0.78249192237854,14
DEU_LocationALower-36_61_T-1,9,R_G3,yes,0.845084428787231,11
DEU_LocationALower-29_245_T-1,12,R_G3,yes,0.858251810073853,12
DEU_LocationALower-30_218_T-1,16,R_G3,yes,0.865126848220825,14
DEU_LocationALower-34_96_T-1,14,R_G3,yes,0.879239797592163,10
DEU_LocationALower-36_269_T-1,18,R_G3,yes,0.88005542755127,19
DEU_LocationALower-37_205_T-1,15,R_G3,yes,0.882651805877686,14
DEU_LocationALower-14_252_T-1,12,R_G3,yes,1.03867673873901,11
DEU_LocationALower-14_247_T-1,16,R_G3,yes,1.04908442497253,17
DEU_LocationALower-33_96_T-1,9,R_G3,yes,1.05448889732361,13
DEU_LocationALower-29_249_T-1,23,R_G3,yes,1.10408759117126,21
DEU_LocationALower-34_37_T-1,9,R_G3,yes,1.10490155220032,16
DEU_LocationALower-11_102_T-1,16,R_G3,yes,1.13641047477722,15
DEU_LocationALower-12_217_T-1,14,R_G3,yes,1.13889408111572,14
DEU_LocationALower-37_4_T-1,22,R_G3,yes,1.16993689537048,20
DEU_LocationALower-34_49_T-1,10,R_G3,yes,1.25821399688721,10
DEU_LocationALower-13_162_T-1,21,R_G3,yes,1.27289462089539,17
DEU_LocationALower-28_109_T-1,13,R_G3,yes,1.2768497467041,18
DEU_LocationALower-29_250_T-1,12,R_G3,yes,1.28608298301697,19
DEU_LocationALower-35_126_T-1,20,R_G3,yes,1.29881858825684,19
DEU_LocationALower-11_64_T-1,18,R_G3,yes,1.32173681259155,17
DEU_LocationALower-13_168_T-1,12,R_G3,yes,1.33310317993164,13
DEU_LocationALower-29_65_T-1,8,R_G3,yes,1.33392477035522,15
DEU_LocationALower-11_43_T-1,17,R_G3,yes,1.3433895111084,17
DEU_LocationALower-25_155_T-1,15,R_G3,yes,1.46062660217285,16
DEU_LocationALower-34_146_T-1,14,R_G3,yes,1.48509979248047,10
DEU_LocationALower-33_265_T-1,22,R_G3,yes,1.49079990386963,19
DEU_LocationALower-11_110_T-1,16,R_G3,yes,1.54040551185608,22
DEU_LocationALower-11_131_T-1,18,R_G3,yes,1.54985904693604,22
DEU_LocationALower-14_161_T-1,21,R_G3,yes,1.59995985031128,18
DEU_LocationALower-32_186_T-1,12,R_G3,yes,1.68642258644104,13
DEU_LocationALower-29_123_T-1,16,R_G3,yes,1.69004249572754,13
DEU_LocationALower-37_1_T-1,11,R_G3,yes,1.70216417312622,14
DEU_LocationALower-31_239_T-1,16,R_G3,yes,1.76656484603882,21
DEU_LocationALower-14_96_T-1,15,R_G3,yes,1.77182292938232,13
DEU_LocationALower-13_167_T-1,17,R_G3,yes,1.78937220573425,14
DEU_LocationALower-35_263_T-1,12,R_G3,yes,1.81091618537903,17
DEU_LocationALower-13_239_T-1,18,R_G3,yes,1.81762337684631,14
DEU_LocationALower-12_109_T-1,20,R_G3,yes,2.06277275085449,24
DEU_LocationALower-27_140_T-1,14,R_G3,yes,2.16918635368347,19
DEU_LocationALower-12_167_T-1,12,R_G3,yes,2.19086813926697,16
DEU_LocationALower-11_4_T-1,18,R_G3,yes,2.37615013122559,15
DEU_LocationALower-14_39_T-1,15,R_G3,yes,3.05882453918457,20
DEU_LocationALower-13_56_T-1,10,R_G3,yes,3.209792137146,16
DEU_LocationALower-11_56_T-1,15,R_G3,yes,5.32696866989136,16
DEU_AachenBendplatz-1_102320_T-2339,10147,R_IN1,yes,0.122593402862549,11
DEU_AachenBendplatz-1_141960_T-1979,10140,R_IN1,yes,0.123604297637939,15
DEU_AachenBendplatz-1_143100_T-3119,10232,R_IN1,yes,0.124797105789185,10
DEU_AachenBendplatz-1_71480_T-1499,10069,R_IN1,yes,0.128598213195801,10
DEU_AachenBendplatz-1_171180_T-1199,10090,R_IN1,yes,0.133501529693604,16
DEU_AachenBendplatz-1_154820_T-4839,10300,R_IN1,yes,0.145728826522827,11
DEU_AachenBendplatz-1_82520_T-2539,10192,R_IN1,yes,0.147520303726196,13
